# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -10077 9 42 52 8987015 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/var/rnotwhite.js
DUPTYPE_WITHIN_SAME_TREE -10077 10 42 52 9252998 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/var/rnotwhite.js
DUPTYPE_WITHIN_SAME_TREE -10077 10 42 52 9256992 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/var/rnotwhite.b1e91d127880.js
DUPTYPE_WITHIN_SAME_TREE -10077 5 42 52 8986081 5 /openedx/staticfiles/js/bower/jquery/src/var/rnotwhite.js
DUPTYPE_WITHIN_SAME_TREE -10077 9 42 52 8994420 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/var/rnotwhite.b1e91d127880.js
DUPTYPE_WITHIN_SAME_TREE -10077 6 42 52 9234304 5 /openedx/staticfiles/studio/js/bower/jquery/src/var/rnotwhite.js
DUPTYPE_WITHIN_SAME_TREE -10077 6 42 52 9257781 5 /openedx/staticfiles/studio/js/bower/jquery/src/var/rnotwhite.b1e91d127880.js
DUPTYPE_FIRST_OCCURRENCE 12595 6 43 52 8996004 5 /openedx/staticfiles/frontend-component-cookie-policy-banner/node_modules/@edx/paragon/src/ListBox/ListBox.44f280bf3344.scss
DUPTYPE_WITHIN_SAME_TREE -12595 6 43 52 8983929 5 /openedx/staticfiles/studio-frontend/node_modules/@edx/paragon/src/ListBox/ListBox.scss
DUPTYPE_WITHIN_SAME_TREE -12595 6 43 52 8977208 5 /openedx/staticfiles/frontend-component-cookie-policy-banner/node_modules/@edx/paragon/src/ListBox/ListBox.scss
DUPTYPE_WITHIN_SAME_TREE -12595 6 43 52 8996127 5 /openedx/staticfiles/studio-frontend/node_modules/@edx/paragon/src/ListBox/ListBox.44f280bf3344.scss
DUPTYPE_WITHIN_SAME_TREE -12595 6 43 52 8977152 5 /openedx/staticfiles/frontend-component-cookie-policy-banner/node_modules/@edx/paragon/src/ListBoxOption/ListBoxOption.scss
DUPTYPE_WITHIN_SAME_TREE -12595 6 43 52 8996087 5 /openedx/staticfiles/studio-frontend/node_modules/@edx/paragon/src/ListBoxOption/ListBoxOption.44f280bf3344.scss
DUPTYPE_WITHIN_SAME_TREE -12595 6 43 52 8995959 5 /openedx/staticfiles/frontend-component-cookie-policy-banner/node_modules/@edx/paragon/src/ListBoxOption/ListBoxOption.44f280bf3344.scss
DUPTYPE_WITHIN_SAME_TREE -12595 6 43 52 8983879 5 /openedx/staticfiles/studio-frontend/node_modules/@edx/paragon/src/ListBoxOption/ListBoxOption.scss
DUPTYPE_FIRST_OCCURRENCE 4511 3 43 52 8997732 5 /openedx/staticfiles/js/capa/genex/clear.cache.6d22e4f2d205.gif
DUPTYPE_WITHIN_SAME_TREE -4511 3 43 52 8964722 5 /openedx/staticfiles/js/capa/genex/clear.cache.gif
DUPTYPE_WITHIN_SAME_TREE -4511 4 43 52 9000569 5 /openedx/staticfiles/studio/js/capa/genex/clear.cache.6d22e4f2d205.gif
DUPTYPE_WITHIN_SAME_TREE -4511 3 43 52 8964928 5 /openedx/staticfiles/js/capa/protex/clear.cache.gif
DUPTYPE_WITHIN_SAME_TREE -4511 4 43 52 9000577 5 /openedx/staticfiles/studio/js/capa/jsmolcalc/clear.cache.6d22e4f2d205.gif
DUPTYPE_WITHIN_SAME_TREE -4511 3 43 52 8964665 5 /openedx/staticfiles/js/capa/jsme/clear.cache.gif
